Gene	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	Ctrl6	Ctrl7	Ctrl8	Ctrl9	Ctrl10	Ctrl11	Ctrl12	Ctrl13	Ctrl14	Ctrl15	Ctrl16	Ctrl17	Ctrl18	Ctrl19	Ctrl20	Ctrl21	Ctrl22	Ctrl23	Ctrl24	Ctrl25	Ctrl26	Ctrl27	A01	A02	Lag10	Lag12	Lag14	Lag21	Lag28	Lag30	Lag32	Lag35	Lag40	Lag43	Lag63	Lag65	Lag66	Lag69	Lag71	Lag72	Lag75	Lag78	Lag79	Lag81	Lag84	Lag85	Lag87	Lag89	Lag91
CALU	12.6662	11.3163	13.0885	11.1421	13.06	12.1261	12.8198	12.1768	13.169	11.4666	11.8017	12.2408	12.3443	12.3106	11.4919	9.81538	10.8297	11.5507	11.888	12.3636	12.9604	11.5167	12.2076	12.5911	12.9586	12.7185	13.2863	11.8098	12.664	12.1517	11.7524	12.7292	11.8017	11.9403	11.4868	12.8118	12.6948	12.5068	13.5746	11.9106	13.5018	13.2877	12.9531	12.4226	11.8057	13.0102	11.9622	12.7649	12.6707	13.263	10.7895	12.3526	12.2963	13.1196
HV107	6.37714	8.8857	7.90689	7.96578	7.73471	7.99435	8.62936	7.33985	8.77149	6.93735	6.3329	7.7879	9.67066	8.7211	9.12412	6.59885	8.10852	7.19967	8.56986	9.04439	7.85798	8.16992	8.21432	8.11374	8.77149	8.36194	8.59619	8.29921	7.36632	8.40514	7.23154	9.82655	8.69697	8.36194	10.7228	5.6693	6.97728	9.71081	8.09276	8.30834	9.04166	7.5157	9.57554	8.31288	10.2288	9.42836	8.59246	10.0634	9.27845	9.08481	7.29399	6.93074	7.53138	8.3837
PP2AA	6.41824	6.43962	8.8009	5.03166	7.48382	6.30284	9.01402	7.26679	8.43045	8.75489	8.40088	8.43879	10.1548	9.29462	9.36194	9.02791	7.03342	7.59991	7.7879	8.91886	8.53528	7.18982	9.13186	8.49586	9.18735	5.3726	7.161	7.8009	9.56796	7.33985	9.05257	10.0084	8.13443	8.36632	8.0607	6.65562	6.45286	8.21779	9	6.0764	8.08215	10.7731	8.45943	8.17493	9.53138	10.1421	7.69349	9.56796	9.58871	9.44708	9.10329	8.40939	8.56986	6.28854
G3P	13.4512	10.9069	13.8238	12.7292	12.3608	13.8435	13.5265	12.9366	12.3106	14.1674	14.3512	14.4186	14.8435	13.863	14.768	14.4767	13.1969	13.5627	13.464	13.7731	14.3373	11.7936	13.4512	13.5387	12.7607	11.3219	13.3443	15.0145	14.3373	14.4512	14.6382	15.2213	14.5326	12.628	14.0447	12.6325	12.6707	13.8533	14.1357	10.9513	13.2615	15.7233	13.5265	13.1643	14.3373	14.6039	15.2251	11.9181	14.7471	12.6948	15.0701	13.3853	13.1196	13.0345
POLG	12.1923	9.76984	11.5651	10.6348	11.5603	9.23601	8.96	9.03617	10.1674	10.2877	10.2877	9.74987	10.7977	10.8994	10.9069	9.03892	10.1674	9.73302	10.5699	11.2527	10.3554	10.3554	11.4919	10.3219	11.2819	9.61839	10.9658	9.2738	10.944	10.3106	11.2228	9.85019	11.1357	10.3219	10.6618	11.0967	9.52943	11.3987	11.5887	10.8765	11.3663	10.6439	10.8138	10.944	10.4717	11.3049	10.4094	11.1611	10.2167	11.043	9.93517	10.5411	11.1674	10.8765
KV401	12.5387	14.2061	13.3718	13.4767	12.1984	13.2688	12.8746	11.6528	14.2586	13.5864	13.8337	12.5338	14.1596	13.5387	13.9476	12.6684	13.6211	13.8533	13.7419	12.3498	14.1196	13.8238	13.7731	12.5507	11.5167	12.9604	13.3581	12.6707	13.8435	13.5507	13.1627	13.1325	13.863	12.6729	14.2586	12.4818	11.3049	13.3853	13.7731	12.9274	13.5387	14.6883	14.1115	13.7419	14.1908	13.9837	14.0447	14.0617	14.1357	12.7586	14.6325	13.464	14.9339	12.9476
IGJ	15.5567	16.3198	15.9036	16.9083	15.5597	15.6883	15.8238	15.0659	16.8606	16.5922	16.582	16.1984	16.3251	16.365	16.6937	15.2326	15.9748	16.5065	16.5188	16.1946	16.5805	16.2288	16.3632	16.1135	15.8727	16.2213	16.3819	15.8213	16.5597	16.4071	15.4512	16.9316	17.0847	15.8894	16.6937	15.7628	14.7783	16.7073	15.5805	16.2156	16.4004	16.8361	16.7731	16.0743	16.6662	16.92	16.5893	16.9882	17.0532	15.8557	16.8361	16.1417	16.8965	16.3701
PDC6I	8.27612	9.3837	10.1033	8.633	7.86419	9.88874	10.2877	6.27088	7.09803	10.8376	7	10.0768	11.9944	8.42206	10.7649	10.6795	7.59246	9.44087	8.54689	10.1923	10.7977	5.06	6.15696	8.71768	8.58871	5.74841	9.74819	10.4305	10.9873	8.59619	10.5118	11.5793	10.1293	7.19967	10.4818	8.71081	5.46916	9.49386	11.0224	5.56019	9.84549	13.2732	7.01123	8.07146	10.0498	11.6839	11.1984	9.53138	11.0901	7.33985	11.4868	9.04712	9.08215	9.10591
1433E	9.39232	7.66534	10.4409	7.96	5.66803	10.1548	11.0014	8.68299	9.36413	10.5793	10.3772	11.1984	12.9694	10.4512	11.5981	11.4564	6.78136	9.31288	9.12412	10.8611	11.4041	5.20703	8.0607	7.59246	9.05799	7.74819	10.3554	10.8533	11.5934	10.7566	10.9293	12.3219	10.6795	8.34873	10.5314	9.77479	8.44708	10.4818	11.6573	7.54689	11.1421	14.9476	7.78136	8.47573	11.3554	12.8669	11.3163	9.16742	13.5265	7.66534	10.7228	4.85878	9.13186	9.11374
CFAH	11.3663	11.3554	10.2877	11.8765	9.10329	12.6839	14.0951	12.3163	12.2848	13.9658	12.3961	13.0868	15.3752	9.70563	13.7628	15.7233	12.4409	11.6439	10.7313	12.8396	13.1627	10.6795	10.5216	12.2137	10.0498	9.64926	11.3387	12.3554	11.8727	13.5627	14.3092	13.9658	14.3987	11.3106	14.1752	9.56796	11.5362	12.6595	12.9567	9.37938	11.1228	14.464	12.4252	11.5362	12.8178	14.4576	13.2015	12.6004	14.3304	11.7056	13.0967	12.0258	12.4893	12.9031
