Gene	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	Ctrl6	Ctrl7	Ctrl8	Ctrl9	Ctrl10	Ctrl11	Ctrl12	Ctrl13	Ctrl14	Ctrl15	Ctrl16	Ctrl17	Ctrl18	Ctrl19	Ctrl20	Ctrl21	Ctrl22	Ctrl23	Ctrl24	Ctrl25	Ctrl26	Ctrl27	A01	A02	Lag10	Lag12	Lag14	Lag21	Lag28	Lag30	Lag32	Lag35	Lag40	Lag43	Lag63	Lag65	Lag66	Lag69	Lag71	Lag72	Lag75	Lag78	Lag79	Lag81	Lag84	Lag85	Lag87	Lag89	Lag91
SPB3	9.94544	6.50148	5.93128	6.1662	7.62923	5.7585	6.74147	8.04439	8.15987	6.60881	6.48936	6.97978	7.53138	8.2008	7.31288	8.53138	7.04439	5.62803	7.06609	8.07146	9.49985	7.80735	10.5314	9.41574	4.99592	5.99608	8.8392	12.6751	10.9144	11.8178	12.2497	12.3219	10.9144	8.85798	10.1923	7.52356	8.17991	11.42	9.60363	8.87037	8.95128	12.2935	9.00562	8.74147	11.2644	10.2408	12.4305	5.87141	12.0224	9.60918	13.4383	7.09803	9.19229	11.1485
CASPE	12.1325	6.78839	9.25267	8.09276	5.15312	7.86424	6.64848	4.7961	5.27416	6.54522	7.69576	7.56986	5.83685	4.61709	7.1689	8.82972	6.87362	9.21675	7.15987	9.04985	4.54122	5.01322	9.57175	6.90689	7.05528	6.02412	8.2384	12.3498	11.2644	9.82972	10.6707	9.96578	12.0735	7.76155	7.12928	4.49887	7.13955	12.06	10.5216	7.73471	9.42206	11.5362	9.68475	6.57264	9.65821	11.5934	11.0498	10.5981	12.5887	7.55459	12.8823	5.65492	8.96	11.1357
SPRR3	11.888	8.7211	8.6865	6.20923	9.01402	6.26269	5.97105	8.81057	9.79116	8.34873	9.633	9.59246	5.68049	12.3443	6.67838	8.20945	9.15987	10.6257	8.91588	11.1163	8.76818	10.6348	9.49586	10.3219	6.57677	11.7524	11.0634	11.2467	12.8198	10.0498	11.2046	10.8765	12.6119	10.4615	9.88874	11.8297	9.98014	11.8494	10.9144	10.6348	8.15482	14.4383	9.92184	10.0084	12.8669	13.8533	9.95274	10.3443	13.3304	11.4147	10.4818	11.4252	5.7586	11.6165
DEF3	7.09607	5.4992	7.47573	13.3853	6.54901	9.47371	9.16742	10.1674	8.64386	14.0785	6.59947	12.2586	9.62388	6.05256	13.8435	12.1923	9.91438	10.2167	12.6662	11.2467	12.8899	8.49586	9.50383	6.37369	9.14721	6.18968	5.5463	12.5507	13.1277	14.1752	13.3443	14.7936	15.8012	10.0498	13.1815	6.94198	5.93723	14.5447	9.07682	4.96473	11.388	15.3443	11.6303	8.88874	13.3987	14.2512	13.5018	10.4094	14.3786	7.81378	11.0768	5.09065	10.9658	9.83447
ARGI1	10.0084	8.15482	7.18982	9.14211	7.03342	9.03617	6.79861	6.47747	9.35094	8.51964	7.11894	8.27146	10.6165	7.84549	6.29926	9.72281	7.90689	10.6439	7.45943	7.8392	7.60649	4.87771	9.71939	8.73471	7.96	7.07682	6.30885	12.1768	11.1293	10.1163	11.7977	11.9476	12.2318	4.44549	8.70736	7.23638	6.80735	11.7855	8.35755	7.61471	10.4512	11.4919	10.42	5.63174	10.3987	10.6528	11.4147	9.45533	12.279	8.7211	12.5142	8.18982	11.2644	11.3332
K22O	5.95886	12.3526	6.16599	8.81057	13.7936	9.99435	8.21432	9.09803	6.34026	6.53746	6.24628	8.93369	12.9748	8.79442	13.1082	8.14975	11.4666	9.25739	10.1293	5.89803	8.71768	8.33092	13.1969	11.2819	6.44243	11.2644	5.12827	10.7398	12.2107	12.42	7.1255	7.78136	13.4893	9.0607	10.3443	9.92778	10.9513	13.412	12.5265	12.7997	6.46093	13.0566	9.07682	7.69078	13.7099	13.6551	12.8057	13.9476	13.5507	5.2897	12.8098	6.74883	12.8238	12.4717
TALDO	10.388	5.63552	5.82769	5.82197	5.22012	8.33985	8.76155	7.77479	5.51296	9.03342	9.5216	10.0498	11.2877	9.01402	9.88264	10.7977	5.34688	6.64627	6.04045	9.224	6.98868	5.69727	6.70598	5.9567	10.8376	8.2854	6.64469	11.0293	10.1033	10.3663	10.5314	12.6618	10.7566	6.01613	8.43463	11.1293	6.02308	10.973	9.78136	5.32433	10.6348	13.0241	9.69697	6.12973	9.18735	11.4512	11.8098	10.6348	10.42	6.48424	11.446	8.74819	8.7039	9.36194
PRTN3	5.88052	7.8392	8.14975	7.55459	7.32193	8.97154	9	8.75822	8.51964	9.66178	7.73471	11.2228	9.01123	9.31741	10.8611	8.84235	8.30834	8.31741	6.1707	4.95664	11.6751	6.90689	7.49985	8.79442	9.18488	8.72792	7.9542	13.1261	11.6165	12.7586	9.79928	13.8435	11.9031	9.56415	10.2046	7.52356	8.03342	11.4409	8.37069	8.66178	12.3359	13.2747	11.2167	9.58496	7.59991	8.07682	12.5338	6.77378	12.3853	9.37286	9.50581	9.75656	9.7039	7.62205
GGCT	9.64566	6.84549	7.9453	8.8392	9.66711	7.05245	9.13699	5.88411	7.11894	8.86419	5.53629	9.64566	9.47167	6.13915	9.29692	10.2408	5.96806	8.18488	7.12928	8.84862	8.90989	7.14975	7.98868	8.91588	9.14211	7.72792	6.41619	10.8376	10.697	9.55267	9.99435	10.6618	10.7814	7.62936	8.27146	8.26209	8.71425	11.0014	9.11374	8.75822	10.0224	11.8727	9.51767	8.3966	8.54689	11.3663	10.2167	9.06609	11.3934	9.75322	12.42	8.10852	10.2046	10.9293
FABP5	10.4717	6.21653	10.1923	9.49185	5.86918	8.42206	6.74865	6.90192	9.91588	12.2497	7.42924	6.08591	8.91289	11.5362	9.51175	6.31171	8.80735	11.8337	10.3554	12.2644	11.8178	7.74819	9.53722	10.0084	6.07383	8.42626	10.2761	12.4094	12.3163	11.5459	10.944	12.4818	12.6883	4.92235	12.0768	11.7566	8.80413	12.2556	11.7773	8.40088	9.31061	14.0102	6.19243	9.80252	13.26	14.1596	12.2674	9.67243	13.2718	9.66356	10.6348	6.46242	8.33092	10.6073
GLNA	8.46761	8.71425	8.05528	6.75202	4.91104	8.24793	8.29921	8.91588	9.07146	7.41785	8.53916	8.62205	10.1421	8.51175	9.29921	6.69065	5.96505	8.224	9.34873	11.3332	9.13699	8.23362	8.73471	8.58496	4.34475	6.58496	7.80735	9.76487	11.865	9.75489	11.043	11.4919	11.2046	6.18395	9.93221	8.43463	7.61471	9.54496	11.6751	5.48262	8.41363	13.5142	9.71768	7.04439	12.0224	12.989	12.0154	7.3837	13.043	9.50779	9.93074	8	8.9542	9.03067
TKT	8.38802	6.74381	5.45481	7.26679	4.63381	11.4818	10.9366	11.3276	7.08746	12.1548	5.90738	11.9106	11.6119	7.06609	11.8727	12.8178	7.24793	7	6.79442	7.33985	11.8765	7.34873	5.96035	8.62936	9.00562	6.87036	5.93867	13.3163	11.6795	12.6773	12.2288	14.5627	12.8669	4.42931	10.9873	7.75489	7.06609	11.7398	11.1293	6.69216	11.3443	14.2732	11.1293	5.82802	10.5793	11.8494	13.3718	6.55728	13.0701	5.8414	12.7524	6.84549	8.45121	7.83289
ARP2	7.65821	5.78309	8.00587	5.1375	5.4507	6.31431	8.93369	5.5487	6.7501	7.76308	6.40599	8.93369	10.7056	6.23658	10.4409	5.53998	6.24215	6.98868	5.86582	6.04987	9	7.33985	6.60909	6.29063	6.72223	5.90699	8.76818	8.37069	9.98014	8.89178	10.3443	11.5314	11.0084	5.71655	8.08746	5.44038	7.33092	9.34651	9.33092	7.43463	9.91588	12.2107	7.5157	6.7925	7.1579	11.1228	9.60918	7.44294	11.3987	7.25739	12.06	5.33173	8.52748	8.40088
1433S	8.62936	7.36632	9.59433	5.50025	4.60881	8.44294	9.13186	5.58617	7.33092	11.2046	8.54303	8.37504	12.0189	11.8376	9.44294	10.4919	4.92005	10.6348	10.2046	12.2674	11.6573	5.55595	8.13955	10.3772	5.79944	9.37938	10.7895	12.5191	13.3443	11.0293	11.3106	13.3163	12.5981	6.1672	12.3772	11.8376	4.74166	10.8533	12.4173	4.88026	7.65821	15.5746	6.76427	7.37504	12.944	14.5326	12.1196	10.5018	14.0276	6.29574	12.7895	6.43198	8.66534	10.7056
CALL5	11.6839	8.93664	9.5157	9.01123	6.47863	9.21432	9.71939	8.90989	8.85175	9.89026	9.25739	7.77479	10.388	8.90989	8.84862	10.2046	8.56224	10.697	8.7211	10.4409	9.49785	8.13443	10.1033	8.88264	9.32868	6.80735	10.1674	10.8918	10.7056	11.9658	11.9944	12.6839	11.1163	9.74987	10.5411	9.9542	9.31967	11.584	9.73132	8.07682	10.9218	14.0868	10.6883	8.77479	12.1325	12.0049	10.7482	11.6839	12.1954	10.1163	12.5018	9.38154	10.1421	10.8765
K2C6A	9.81698	6.67563	8.9571	8.82018	8.83605	7.69784	5.61185	6.02924	8.62936	7.64386	7.87036	9.63844	7.82018	7.53138	7.98868	5.72909	6.28175	9.37938	8.33985	9.04985	8.04985	9.04166	8.47573	5.32866	8.57365	8.67948	10.9658	10.6073	13.7936	9.53916	10.3987	10.6348	11.3276	7.37504	9.12153	9.35315	6.92141	12.1131	10.6795	8.94251	9.02514	12.2935	8.73471	7.0256	10.1421	10.5603	10.0901	10.4717	10.3987	8.86419	7.51296	7.09803	9.59059	9.77972
OLFM4	7.08578	9.13955	5.9751	7.65105	8.65105	8.12412	8.01681	8.66889	5.08452	7.64386	6.16678	7.39232	8.56986	6.00721	6.73652	7.3837	6.66813	6.6014	6.55428	8.78463	8.46352	8.25739	7.2384	8.88874	8.90388	8.50383	6.30079	11.5265	9.93074	9.30834	8.94251	12.5817	10.6073	9.88111	12.279	7.73471	8.82972	8.07682	7.09922	9.54303	10.1421	11.3498	6.27507	8.55459	8.67243	9.17742	11.1357	5.40027	9.57365	9.35535	8.61839	7.97154	8.17493	7.50779
VIME	7.7879	8.65105	7.45943	8.20457	5.71837	9.10066	11.0967	8.3966	8.55459	9.32418	8.26209	12.1453	11.6119	8.71081	11.4041	10.7313	7.7879	6.68587	5.88079	5.66043	10.7056	5.8723	6.08694	7.21917	6.08551	7.09803	6.69671	11.697	10.9366	11.9256	13.5981	14.4956	12.4538	6.50303	8.12412	5.89725	7.44294	11.3443	10.5018	7.44294	12.6027	14.1115	10.0634	7.79442	8.67596	11.2644	11.1293	6.0979	11.9403	7.74147	9.59433	5.6914	9.11374	7.42626
MUC5A	5.33171	10.3332	10.5411	9.85331	10.7142	10.8994	10.2761	9.51175	9.86264	10.5216	10.5314	14.8775	12.8357	9.45121	10.7566	10.4818	9.33539	10.4094	9.35755	10.1923	11.9658	10.5793	10.5118	11.4357	9.62022	9.83447	12.664	13.7936	18.2419	10.9658	11.0224	12.2644	16.4301	10.6073	10.7731	9.41363	10.1923	12.9908	15.0826	10.2046	11.0901	13.9293	9.91588	10.8218	10.2644	16.6523	13.6883	11.6165	12.1984	9.3837	12.8455	9.31967	11.0084	10.5603
INVO	11.9622	9.59619	7.79442	8.42206	7.49185	8.83605	6.11277	8.92184	8.25739	5.83887	9.64926	7.54689	6.78194	5.59276	6.58288	10.3772	8.85175	8.21917	7.09716	10.6439	9.7364	7.34873	8.42206	11.2348	7.33985	5.57623	9.8009	12.1643	11.7895	10.2167	11.1548	11.3163	11.446	7.33985	11.0566	10.4512	8.76818	9.62753	7.12029	6.0287	9.2738	15.0575	7.81378	8.95128	11.3276	13.6211	9.82655	8.35755	13.1784	5.60556	10.5699	6.44972	9.64386	8.40939
MMP9	6.14585	6.37665	8.94544	7.39011	9.04712	9.93517	9.73302	10.0084	8.13955	7.85403	8.91886	9.40514	6.35618	8.07146	7.94837	10.1293	9.56033	7.76155	9.77808	7.89482	9.76653	9.59433	6.20394	9.63844	11.0498	8.83289	8.04985	12.043	10.1674	11.8765	10.2167	14.5326	11.5887	9.29921	9.25503	8.79116	9.66356	10.3987	9.35094	10.0498	11.6839	13.5864	10.1923	9.82972	9.59433	9.18239	11.8098	8.60291	11.8842	9.82496	8.18982	5.4277	9.66534	8.25267
K1C13	13.863	11.1228	12.5555	12.664	11.4041	11.4305	11.5746	12.0967	11.5118	12.905	11.7977	14.6991	12.9293	11.0362	12.4767	10.7228	12.8494	13.3304	12.7773	11.9694	12.8572	12.8669	12.7164	12.2877	12.2137	13.2348	15.8435	14.7783	17.2512	13.5265	13.8138	14.3233	15.4672	11.944	13.0634	12.4041	11.7013	15.1115	15.6467	11.9256	13.3718	17.6662	12.5627	10.8994	14.7471	15.6718	16.1176	14.5981	15.6579	12.2167	15.6991	12.5793	13.9293	13.3581
BLMH	8.56605	7	9.17493	9.11894	6.83289	9.01402	8.46352	7.84549	6.07703	8.78136	8.43879	6.7152	9.87191	5.90494	8.71768	8.11894	5.44079	9.43045	9.04439	7.50779	7.20945	5.08246	10.3772	5.34996	9.39232	5.71889	7.48382	11.4868	10.2167	9.08215	10.8765	8.09803	9.94691	6.08454	8.35755	7.42626	5.04962	10.6883	9.39874	9.75154	9.57743	10.0768	8.89482	7.44411	9.26209	10.1548	11.3663	9.44915	10.3332	5.28046	13.2482	7.63662	10.5887	10.6348
K2C5	13.9658	11.5068	13.0206	13.6551	12.5018	12.2318	11.8297	11.5362	12.1611	12.4843	13.1969	14.6718	13.1501	12.3134	13.2046	10.3772	13.3853	15.8163	12.7419	13.5746	12.6684	13.3987	13.464	12.9311	12.5142	13.5018	15.8775	15.1791	17.3836	13.8727	14.7313	14.6096	15.8989	11.973	13.8918	13.0276	13.3163	15.3408	16.624	13.2512	13.4767	18.0211	12.9712	12.3691	14.997	15.9385	16.7731	14.7419	15.0701	12.158	15.8509	11.7356	14.2363	13.9012
PEPL	7.32642	6.38198	7.18982	7.21917	5.17658	9.20457	9.45738	6.26303	9.25974	11.2703	6.93074	9.75322	11.7731	6.10207	10.697	11.6484	7.40939	3.93088	6.80546	6.93828	9.43045	5.47352	6.98868	8.18982	7.65105	6.089	12.0049	10.0362	13.3581	9.44294	11.0634	11.2467	11.3276	7.5397	9.224	7.72792	7.49185	9.4818	11.6484	5.89162	9.11114	14.9293	6.21525	6.26251	11.0014	11.4919	11.2348	6.72346	12.1954	5.8257	10.7649	5.98271	10.1799	8.07146
FILA	9.61839	8.20945	9.89482	9.40514	9.89026	7.22133	5.80803	8.54689	8.10329	5.4838	7.84549	6.05422	10.5699	7.48382	8.64386	8.19967	7.40077	9.95565	8.65105	8.18982	8.98014	4.82989	8.52748	8.64386	11.4512	5.17068	6.79605	13.7936	10.6257	10.6795	11.4409	10.6618	11.0498	9.03617	9.80252	6.85258	5.80872	10.42	7.58496	5.24173	11.4041	10.2046	6.94256	5.77952	9.32643	8.56986	10.7977	8.66178	10.7895	9.10066	15.5326	8.89785	9.70217	8.18488
ATPA	7.84198	9.33092	6.72757	9.79442	7.87036	8.41785	10.0768	5.19687	5.91312	10.9293	6.29227	10.3219	9.65105	8.89482	7.76155	7.16993	5.1417	9.01402	8.3443	6.61902	8.12928	5.0661	7.46761	9.69523	9.34651	5.39339	8.52356	8.00562	10.7566	6.58797	7.09803	9.55267	10.2527	9.86264	6.90689	7.00555	6.81738	9.50779	10.973	9.12153	8.01681	11.8376	8.69	9.84862	10.9586	10.0498	10.697	10.0634	9.69174	9.76653	10.7228	9.41363	9.96578	9.87191
AHNK	10.3443	9.7211	6.50303	8.11374	7.1823	9.41785	7.49985	7.8009	8.65105	11.1861	9.61655	8.07682	10.0634	6.63372	10.0498	9.16491	7.21917	9.32418	7.17991	7.53916	9.12412	4.82037	9.19967	9.13186	7.93074	6.70229	9.54496	9.65642	11.7566	10.0362	10.6439	10.9144	10.1923	9.14211	9.26444	5.63365	8.83605	10.1923	11.6707	9.63118	9.30834	14.1115	6.19181	9.43463	9.13955	10.5216	11.6926	9.13955	12.3745	8.18982	11.2877	8.82018	8.82337	6.84549
PERM	11.5746	10.9366	10.6073	11.1228	9.99435	11.8956	11.1033	13.2467	10.8218	12.7099	11.7142	14.3021	10.4919	10.5981	12.4666	11.7731	11.6119	10.5507	11.7398	11.0768	13.92	11.1984	10.7482	10.8688	10.8138	8.96867	10.4512	14.8337	13.8138	14.0189	13.1	15.5716	15.1236	12.0634	12.8435	10.6073	11.0084	13.6325	11.1033	11.5603	13.3987	14.5265	12.8057	12.8277	11.5981	13.3718	14.9339	10.2644	13.6096	10.8918	11.0701	9.60733	13.1737	11.0701
TIG1	11.8297	10.0768	10.6528	10.5118	8.3443	10.1799	11.1984	9.10591	11.3608	9.92184	8.71081	12.0014	11.5459	10.8533	11.2107	11.6883	11.6073	10.0498	10.1163	11.7895	11.3772	11.4615	10.1421	10.6795	10.4094	11.3608	12.605	12.4409	11.5699	10.7814	10.8297	13.2243	12.2318	11.7356	14.2877	12.0327	10.6528	11.8337	12.6484	9.04166	11.8842	13.4767	13.6662	10.8297	12.5043	11.1923	12.6143	12.1923	13.6773	11.5555	13.0067	12.8975	12.0014	10.7731
H4	12.8975	10.0634	9.25974	9.46964	6.96742	11.2935	11.7482	12.5216	10.5411	10.4919	10.0084	14.7313	11.5746	7.79442	12.0634	10.5603	9.74147	9.46964	10.2761	9.99435	12.2107	10.1923	8.70044	9.55267	6.70212	10.3987	12.7545	13.2877	13.4893	12.2046	13.3304	13.8337	13.7419	11.0634	11.3443	11.0498	9.84235	12.5793	12.664	7.49985	12.0566	13.4383	10.9218	10.6073	11.3332	12.6416	12.989	10.944	12.6839	10.4512	12.0498	7.70044	11.7566	10.9293
STOM	7.41096	7.66534	4.74287	8.17991	7.15829	6.97728	9.56415	6.67243	6.5657	8.62571	8.18982	10.6348	9.09011	4.98937	8.87037	7.25739	6.95911	6.80735	6.98968	8.20945	6.70044	6.12912	6.9542	7.78136	5.51055	5.87414	5.50291	11.3049	10.1674	9.16491	8.51964	12.4409	11.1098	5.11503	8.79116	7.27841	6.3253	8.48784	7.63662	5.3355	8.33985	11.0768	8.47978	9.88417	8.53916	7.76818	11.2703	7.56986	10.5507	6.83929	8.59246	5.21768	8.31741	5.87472
SPTN1	9.01402	7.17991	5.40435	5.88977	6.99432	8.90989	7.09803	4.74189	9.07948	7.54689	12.7607	6.57311	9.62571	7.82018	7.76155	8.82337	5.66689	6.13958	7.42626	8.03517	7.18982	7.09803	6.42666	8.90989	7.50662	4.15135	7.63662	8.89785	10.2877	6.75489	7.42626	10.8376	7.54236	5.61568	9.75489	5.19681	6.42575	7.4232	11.4094	8.00562	8.27612	13.5627	9.21189	12.6729	7.07099	9.26679	10.2644	8.12928	10.8918	8.53138	9.63844	7.92481	7.12928	7.20945
S100P	8.82655	6.34665	7.67948	6.69683	5.74941	9.99435	8.58496	9.07682	7.62205	10.9293	6.93074	10.3219	10.7649	9.5157	9.47978	10.3443	7.7211	5.59917	6.19153	7.1036	9.74147	4.57444	8.41785	8.52356	6.73283	7.32193	7.12753	11.3106	9.79116	9.62571	7.6852	11.8416	10.9144	7.22882	9.55651	9.32418	10.6439	10.5411	8.71425	6.07771	9.47776	12.1131	9.0607	6.5641	9.84706	12.9125	10.9144	6.4056	11.9069	5.74682	10.8218	6.74927	8.94251	5.99155
K2C4	12.6257	10.0362	11.9403	12.2644	9.21675	12.8198	11.9908	10.0768	10.1033	12.5531	11.9908	15.0102	14.6937	9.98014	13.0032	11.7524	13.06	13.1244	11.9403	11.3219	13.3581	12.5043	12.4331	12.5093	11.4717	12.5793	16.0659	15.5567	17.3752	13.1532	13.6662	13.6991	15.0447	10.7056	12.8317	9.55842	11.4868	13.5627	14.5507	11.1357	10.6618	17.7207	10.6439	10.8455	14.2949	15.2985	16.6523	13.5265	15.7961	10.6795	16.5966	12.0668	13.1277	12.8474
FILA2	7.70736	7.65821	6.37681	11.0224	4.52092	7.01123	6.83401	6.15785	7.53916	7.66344	6.21797	5.6267	6.18255	7.10852	6.40362	6.64097	6.91886	11.043	7.31288	7.90087	6.95809	6.87036	9.42206	5.35115	6.08176	5.60514	6.87036	10.3443	11.2228	8.83605	9.03892	7.24732	9.93221	6.61029	7.55459	5.5311	6.89482	10.3106	6.70417	7.22911	5.98452	8.81698	7.49185	6.78136	7.8392	10.4305	10.4615	8.30834	8.32643	4.80965	11.3443	5.98373	9.42206	10.1674
CALR	8.35315	8.10329	8.43463	7.90087	8.99718	7.82655	9.62753	7.77479	8.54689	7.06817	7.18982	10.2992	9.70736	7.88264	8.59619	7.20945	7.7211	7.5157	4.60974	8.10852	8.68299	7.67948	7.97728	7.22882	8.7879	8.7039	10.1033	9.75656	11.2107	9.49185	9.13443	11.584	9.25974	4.74653	9.43463	9.15735	7.49185	8.58871	10.9293	7.76818	9.01959	12.9476	9.03342	9.23122	8.54689	9.78136	10.5603	8.77808	10.9069	8.88874	9.67948	8.96	9.31741	8.52356
LMNA	8.74819	9.00843	6.71425	8.70736	6.05933	9.40088	8.98868	9.54303	9.02237	9.9571	5.76324	9.92926	10.2046	9.99435	9.92035	5.40593	9.39232	9.10066	8.49985	8.77149	10.4717	9.64566	9.40088	8.69349	5.62887	9.54882	10.5699	10.5699	12.1954	9.72962	11.2467	11.3276	12.3021	7.70044	9.31967	8.37938	9.98014	10.3106	12.0154	9.35315	7.13955	14.9748	4.27653	9.39017	10.9658	10.7142	12.4409	5.68217	13.0785	5.88624	12.8017	8.26679	9.59059	9.01959
K1C19	12.6371	10.6528	12.6662	12.5981	12.4512	12.3934	12.8376	11.2288	11.9944	12.3387	12.6119	14.5326	14.7731	12.1861	13.8435	10.8765	12.5627	12.2198	12.2076	12.9476	12.8416	11.8842	12.0835	12.06	13.0885	12.3359	15.0575	14.7153	16.049	12.8258	13.412	14.0102	15.2288	10.8918	13.0224	12.5555	11.9476	14.1674	15.2696	12.2318	13.2122	17.1556	12.5887	11.4767	14.1437	15.1752	15.9476	13.4767	16.2622	12.0049	15.6211	11.5555	13.5387	12.8975
APOD	14.5265	6.47411	11.6795	11.8765	6.03741	10.5981	10.388	10.1799	12.6991	12.8842	9.45738	11.9181	12.7814	6.12046	11.2877	12.6257	9.94398	7.9542	6.97427	11.6618	10.5118	10.3554	13.2674	10.4717	11.8138	10.7398	9.63844	13.2243	14.1596	12.3745	12.6618	10.9218	13.26	10.5118	10.9944	11.5887	9.50184	14.2288	12.1674	10.4409	12.2288	10.7895	12.628	9.59991	12.1737	13.92	9.94251	12.5411	11.6119	10.2992	10.9366	9.32193	10.4409	13.2467
THIO	12.2992	6.85798	10.1674	9.91737	6.08232	9.89936	7.27612	7.87036	8.2854	11.2288	8.67243	9.7211	8.11894	11.7228	9.16491	7.90087	9.82655	11.1984	10.2527	11.4919	10.8994	8.77149	9.2384	10.6707	7.93664	8.69697	11.0293	11.0566	12.5362	10.9293	10.7566	11.7977	11.9031	7.01123	11.6073	11.1737	7.08746	11.3276	9.93958	8.46761	10.0768	12.7936	9.84549	8.41785	11.8994	13.203	11.7524	11.1163	11.9658	8.01681	11.8494	8	10.42	11.0362
IQGA1	11.3498	8.91588	9.96578	9.32193	8.06609	7.73471	9.21432	8.99435	8.55842	9.62571	8.90087	11.4252	12.1	8.56224	10.9944	10.5793	6.42626	8.76155	8.74483	10.388	10.0362	6.02591	7.79442	7.55459	7.76155	4.91198	9.55459	10.7731	11.9218	10.0084	11.0701	12.6707	10.6073	8.60363	10.2644	6.89482	5.82572	9.22641	11.9181	9.44915	10.5699	14.0701	9.35755	9.01402	9.86573	11.0362	12.1861	7.85798	12.6188	7.2854	11.5793	11.2877	7.44294	9.63844
RAB1A	7.41118	7.39232	8.36632	7.58496	5.40456	8.65464	9.17493	7.40088	7.50779	9.87191	7.05474	10.1033	10.5507	8.56605	10.1421	9.39874	8.74819	7.56224	7.47573	6.17268	9.18488	5.0611	7.70044	6.90414	6.1897	4.59757	8.44294	9.90839	10.5793	9.11114	10.2644	11.5746	10.7482	5.16924	9.86728	7.90087	5.67312	9.10329	10.2408	5.02864	9.81698	11.6439	8.75489	6.96352	9.98014	10.5793	10.2761	5.4237	11.3498	5.4109	10.5018	8.21432	10.3106	8.94544
SPA12	6.41141	10.0634	5.82357	11.1984	4.4233	5.92998	7.26676	5.52868	11.043	6.92893	9.20212	6.02077	8.36194	8.7879	10.4512	7.26679	4.43541	9.44708	9.71425	8.3443	8.92778	4.81626	5.76359	5.94613	8.17493	8.26209	9.04166	7.70044	9.98014	8.97728	8.29921	8.55842	10.1674	4.8501	9.55842	9.90539	6.62196	10.3663	7.01124	8.11374	7.89482	10.3443	9.75322	6.68571	10.6439	9.14721	9.29002	10.5018	9.62753	6.49663	9.26679	8.33092	10.5118	9.35755
S10A8	14.2586	11.6926	11.744	13.3443	10.0362	13.2453	11.7056	13.4512	11.7977	14.8238	11.388	13.4252	13.5507	10.3443	14.3092	14.4956	12.7773	13.8823	12.7228	14.9882	14.3373	12.4615	12.6991	12.8416	10.1799	9.87037	12.6393	15.3021	14.0785	14.4893	14.5447	15.1908	15.1596	12.5459	14.3581	12.3332	12.1611	14.7628	13.1564	11.2288	13.9385	15.8238	12.6416	13.2183	15.6068	15.7099	15.5805	13.3718	15.2622	11.7607	13.8918	10.8297	12.5603	13.2303
ENPL	8.33092	8.70736	6.45398	6.2983	8.01123	5.4347	9.63118	5.90929	8.95128	8.81057	7.47573	10.3106	9.74819	6.15482	9.55267	10.1163	6.47086	6.22873	7.96578	4.97082	8.39127	5.28201	6.72721	6.3733	8.29002	8.72792	9.77149	8.67596	9.45327	7.85175	10.0634	9.06878	8.82018	7.56986	9.19967	8.14975	8.22882	9.20212	10.1923	8.32643	9.03342	11.8258	7.93074	5.55811	8.84549	10.0224	8.98868	8.51175	9.51767	8.9629	10.3219	7.77427	7.7211	8.98584
S10A9	14.5687	11.6528	12.4717	13.0583	9.99435	13.9926	12.0014	14.2659	12.4331	14.9293	11.584	14.1277	13.5018	11.6883	14.4893	14.4576	12.9996	13.9748	13.1309	15.2696	14.7099	12.7271	13.1228	13.0102	8.93074	11.1357	12.8376	15.768	14.3233	15.1033	14.0447	15.7207	14.6269	12.989	14.6495	13.0651	12.8435	14.6211	13.4893	11.8297	14.3581	16.1497	13.0651	13.6439	15.7073	15.3408	15.5893	13.3163	15.1115	12.5191	13.9293	11.8178	13.2258	13.8727
NAMPT	8.14975	8.40514	6.59605	5.78437	4.98321	8.10852	7.09957	6.16527	6.60833	5.93239	8.8857	6.37014	9.30606	6.27188	8.80413	9.89482	7.18361	5.56271	5.77554	8.90388	8.33539	8.07146	6.05349	9.00562	6.43708	6.80764	9.03067	10.2408	8.64386	9.02791	9.26913	11.6211	8.81698	4.95831	8.99718	5.30075	5.58863	8.55842	9.75489	8.60733	7.85175	12.2228	7.53138	5.4158	8.04985	11.5603	10.5887	8	10.8611	4.76294	10.1548	6.04403	10.0084	5.73676
DEST	6.38389	5.92688	5.19448	5.25519	6.74989	6.58346	7.02237	5.81223	5.30566	8.33539	6.70877	8.99718	9.57932	7.91289	8.79766	5.26613	5.69668	7.45943	7.62205	8.57365	8.81057	4.69601	7.18982	6.05226	6.98868	5.94719	6.5019	9.33985	9.25974	7.57743	8.84235	10.2167	8.82972	6.11475	6.9084	6.05081	6.03367	7.50779	8.08215	6.59875	8.6865	11.5167	5.38963	6.14726	9.04439	10.388	9.41785	5.8323	9.7364	7.44294	9.14721	6.67243	6.93074	7.16993
MDHM	8.82018	8.01123	8.57365	8.40088	7.69349	7.96578	8.58496	7.57743	8.63662	9.28309	9.05257	9.13186	8.92481	9.22159	9.46761	7.14975	8.23362	8.75822	8.40514	9.02514	8.04439	8.90388	9.58496	8.47167	8.61471	7.73471	8.48784	8.72451	9.64566	9.40088	9.67596	10.2761	10.5118	8.98868	10.6348	8.90989	7.90087	8.75489	10.7398	9.72962	9.39874	12.3961	8.93664	10.0768	10.4305	8.85798	11.3826	8.65464	11.0835	8.67596	10.5699	8.18488	9.0954	8.40088
